"pkey","creationTime","lastChangeTime","undeletable","name","cGroup","street","zip","city","anschreiben_DE","kontoNr","blz","bankName","iban","anschreibenVorlageBetreff","anschreibenVorlageText","country","vat","anschreibenVorlageBetreff_rel","anschreibenVorlageText_rel","anschreiben_FR","anschreiben_EN","anschreiben_CH","anschreiben_NL","anschreiben_BE","anschreiben_IT","konditionsUndFristenliste"
"119","1512121886","1512121952","0","Eiscafé Florence im Elisepark","72","Anklamer Landstr. 1","17491","Greifswald","88595",,,,,,,"Deutschland",,"16","15","88598","88596","88594","88600","0","88599","-1"
"120","1513687912","1513687957","0","Dr. Rehfeld Fashion AG","73","Modering 5","22457","Hamburg","89525",,,,,,,"Deutschland",,"16","15","-1","89526","89524","-1","0","-1","-1"
"121","1513693358","1582034424","0","Broadway NYC Fashion GmbH","74","Modering 5","22457","Hamburg","126906",,,,,,,"Deutschland",,"16","15","110305","89549","126905","-1","0","-1","-1"
"122","1516178184","1516178215","0","Muddastadt GmbH","75","Ringbahnstr. 38-40","12099","Berlin","90962",,,,,,,"Deutschland",,"16","15","-1","90963","90961","-1","0","-1","-1"
"123","1516635509","1516635525","0","Regema GmbH","51","Blumenweg 4","59457","Werl","91277",,,,,,,,,"16","15","-1","-1","91276","-1","0","-1","-1"
"124","1516635610","1516635625","0","DauNeu GmbH","51","Karl-Marx-Straße 36","01612","Nünchritz","91279",,,,,,,"Deutschland",,"16","15","-1","-1","91278","-1","0","-1","-1"
"125","1516635769","1516635776","0","Textil Retail GmbH","51","Karl-Marx-Straße 36","01612","Nünchritz","91281",,,,,,,"Deutschland",,"16","15","-1","-1","91280","-1","0","-1","-1"
"126","1517919349","1517919399","0","M. Mode Vertrieb GmbH & Co. KG","57","Bahnhofstr. 1","57462","Olpe","92152",,,,,,,"Deutschland",,"16","15","92154","92153","92151","92156","0","92155","-1"
"127","1517919443","1517919456","0","M. System Verwaltungs GmbH","57","Bahnhofstr. 1","57462","Olpe","92158",,,,,,,"Deutschland",,"16","15","-1","92159","92157","-1","0","-1","-1"
"128","1517921093","1517921120","0","Titus Zoopreme GmbH","46","Meinekestr. 2","10719","Berlin","92163",,,,,,,"Deutschland",,"16","15","-1","92164","92162","-1","0","-1","-1"
"129","1517922351","1517922392","0","Zookini GmbH","46","Budapester Str. 46","10787","Berlin","92167",,,,,,,"Deutschland",,"16","15","-1","92168","92166","-1","0","-1","-1"
"130","1517922451","1517922466","0","Titus Berlin GmbH","46","Karl-Liebknecht-Str. 9","10178","Berlin","92170",,,,,,,"Deutschland",,"16","15","-1","92171","92169","-1","0","-1","-1"
"131","1518443496","1518443520","0","Union Investment Real Estate GmbH","76","Caffamacherreihe 8","20355","Hamburg","92457",,,,,,,"Deutschland",,"16","15","92459","92458","92456","-1","0","-1","-1"
"132","1518443661","1518443723","0","Objektgesellschaft L21 Stuttgart mbH","76","Heilbronner Str. 190","70191","Stuttgart","92461",,,,,,,"Deutschland",,"16","15","92463","92462","92460","-1","0","-1","-1"
"133","1518519022","1582033754","0","Adalbert Breiter GmbH & Co. KG","77","Dachauer Str. 14","80335","München","126891",,,,,,,"Deutschland",,"16","15","116667","92555","126890","116669","0","116668","-1"
"134","1519113972","1519133716","0","HR Group GesmbH","60","Triester Str. 10","2334","Vösendorf","92979",,,,,,,"Deutschland",,"16","15","92982","92981","92980","92984","0","92983","-1"
"135","1519138107","1519138119","0","Kaufhaus Rid GmbH","78","Schmiedstr. 24","82362","Weilheim","92988",,,,,,,"Deutschland",,"16","15","-1","92989","92987","-1","0","-1","-1"
"136","1522761112","1634027829","0","C&A Mode GmbH & Co. KG","79","Wanheimer Str. 70","40468","Düsseldorf","143178",,,,,,,"Deutschland",,"16","15","143176","143179","143173","117464","0","117463","-1"
"137","1522761205","1522761214","0","Theo Wormland GmbH & Co. KG","80","Seilwinderstr. 1 a","30159","Hannover","95052",,,,,,,"Deutschland",,"16","15","-1","95053","95051","-1","0","-1","-1"
"138","1522761264","1533024660","0","H&M Hennes & Mauritz AG","81","Uraniastr. 31","CH-8001","Zürich","100357",,,,,,,"Schweiz",,"16","15","100361","100360","100359","95059","0","100362","-1"
"139","1523460551","1523460567","0","Gebrüder Sapounas Gastronomiebetrieb GmbH","82","Grete-Mosheim-Str. 15","80636","München","95574",,,,,,,"Deutschland",,"16","15","-1","95575","95573","-1","0","-1","-1"
"140","1523954593","1539764950","0","mister*lady GmbH & Co. KG","83","Dalistr. 3","AT-4600","Wels","104232",,"SWIFT-CODE: COBAATWXXXX","Commerzbank Wien","AT57 1967 5001 0015 4400",,,"Österreich",,"16","15","104234","104233","104231","104236","0","104235","-1"
"141","1526630550","1526630576","0","Lifestyle Clubs Concepts GmbH","84","Charlottenstr. 65","10117","Berlin","97142",,,,,,,"Deutschland",,"16","15","-1","-1","97141","-1","0","-1","-1"
"142","1526643012","1607587655","0","Osiandersche Buchhandlung GmbH","85","Waldhörnlestr. 18","72072","Tübingen","135510",,,,,,,"Deutschland",,"16","15","-1","109688","97167","-1","0","-1","-1"
"143","1535020722","1535020820","0","Holmes Place Health Clubs GmbH","84","Charlottenstr. 65","10117","Berlin","101278",,,,,,,,,"4","1","-1","-1","101277","-1","0","-1","-1"
"144","1536754082","1536754161","0","ETERNA Mode GmbH","86","Medienstr. 12","94036","Passau","102232",,,,,,,"Deutschalnd",,"16","15","-1","102233","102231","-1","0","-1","-1"
"145","1537269477","1537269495","0","Elbenwald GmbH","87","Am Seegraben 9-10","03051","Cottbus","102558",,,,,,,"Deutschland",,"16","15","-1","102559","102557","-1","0","-1","-1"
"146","1539098002","1607001670","0","Aktiv Schuh Handelsgesellschaft mbH","88","Georg-Schendel-Str. 2","12489","Berlin","126895",,,,,,,"Deutschland",,"16","15","135366","103828","126892","-1","0","135371","120093"
"147","1539606220","1539606242","0","Kienast Schuhhandels GmbH & Co. KG","89","An der Autobahn 15","30900","Wedemark","104080",,,,,,,"Deutschalnd",,"16","15","104082","104081","104079","-1","0","-1","-1"
"148","1539686603","1539686611","0","Haeffner Beteiligungs GmbH","90","Bahnhofstr. 3","75031","Eppingen","104157",,,,,,,"Deutschland",,"16","15","-1","104158","104156","-1","0","-1","-1"
"149","1540295424","1540295450","0","Fashion FC Club GmbH","91","Hohe Str. 133","50667","Köln","104593",,,,,,,"Deutschland",,"16","15","104595","104594","104592","-1","0","-1","-1"
"150","1541662565","1547651497","0","Jonny M.Sports & Freizeitanlagen GmbH","92","Brenzstr. 4","71636","Ludwigsburg","111655",,,,,,,,,"16","15","111657","111656","111654","111659","0","111658","-1"
"151","1541662691","1547651393","0","Jonny M. Racket und Fitness GmbH","92","Brenzstr. 4","71636","Ludwigsburg","111648",,,,,,,"Deutschland",,"16","15","111651","111650","111649","111653","0","111652","-1"
"152","1542634018","1624478849","0","FC Bayern München Merchandising AG & Co. KG","94","Säbener Str. 51-57","81547","München","118832",,,,,,,"Deutschland",,"16","15","107448","107447","118831","107450","0","107449","-1"
"153","1543850383","1543850398","0","Elke Kruse Kölsche Geschenkartikel","95","Kalker Hauptstr. 55","51103","Köln","108515",,,,,,,"Deutschland",,"16","15","-1","108516","108514","-1","0","-1","-1"
"154","1543915634","1543915655","0","TUI Deutschland GmbH","96","Karl-Wiechert-Allee 23","30625","Hannover","108599",,,,,,,"Deutschland",,"16","15","108601","108600","108598","-1","0","-1","-1"
"155","1547209830","1547209879","0","Holmes Place Berlin GmbH","84","Charlottenstr. 65","10117","Berlin","110777",,,,,,,"Deutschland",,"16","15","-1","110778","110776","-1","0","-1","-1"
"156","1547209914","1547209950","0","HP Sports Clubs GmbH","84","Charlottenstr. 65","10117","Berlin","110780",,,,,,,"Deutschland",,"16","15","-1","110781","110779","-1","0","-1","-1"
"157","1547210043","1547210053","0","HP Königsallee 59 GmbH","84","Charlottenstr. 65","10117","Berlin","110783",,,,,,,"Deutschland",,"16","15","-1","-1","110782","-1","0","-1","-1"
"158","1547210104","1547210113","0","Holmes Place Düsseldorf GmbH","84","Charlottenstr. 65","10117","Berlin","110785",,,,,,,"Deutschland",,"16","15","-1","-1","110784","-1","0","-1","-1"
"159","1547210149","1547210159","0","HP Stadthaus Köln GmbH","84","Charlottenstr. 65","10117","Berlin","110787",,,,,,,"Deutschland",,"16","15","-1","-1","110786","-1","0","-1","-1"
"160","1547651919","1620045283","0","CLINTON Großhandels GmbH","55","Handwerkerstr. 19","15366","Hoppegarten","138774",,,,,,,"Deutschland",,"16","15","111663","138775","138773","134220","0","111798","-1"
"161","1547799240","1553154194","0","KODi Diskontläden GmbH","97","Zum Eisenhammer 52","46049","Oberhausen","111757",,,,,,,"Deutschland",,"16","15","111759","111758","111756","-1","0","-1","-1"
"162","1548057823","1559833392","0","JD Sports Fashion Germany GmbH","98","Hohe Str. 128-132","50667","Köln","111835",,,,,,,"Deutschland",,"16","15","111840","111836","111834","-1","0","-1","118704"
"163","1548081233","1548081251","0","Forever 18 Retail GmbH","91","Schlickgasse 3 Top 7","A-1090","Wien","111902",,,,,,,"Österreich",,"16","15","111904","111903","111900","-1","0","-1","-1"
"164","1548666640","1548666664","0","Valle GmbH","99","TÜBINGER STRASSE, 43","70178","Stuttgart","112286",,,,,,,"Deutschland",,"16","15","-1","112287","112285","-1","0","-1","-1"
"165","1550587675","1550587703","0","Hartfelder Spielzeug GmbH","100","Tibarg 41","22459","Hamburg","113390",,,,,,,"Deutschland",,"16","15","-1","113392","113389","-1","0","-1","-1"
"166","1551952157","1580202724","0","Crocodille DE GmbH","101","Zimmerstr. 23","10969","Berlin","114571",,,,,,,,,"16","15","-1","114028","114026","-1","0","-1","-1"
"168","1552482507","1552482528","0","R. Ludwig & R. Hoffmann GTbR","102","Scharfschwedtstr. 34","16540","Hohen Neuendorf","114627",,,,,,,,,"16","15","-1","-1","114626","-1","0","-1","-1"
"169","1552482988","1608726922","0","HL Eins Bekleidung GmbH","102","Scharfschwedtstr. 34","16540","Hohen Neuendorf","114629",,,,,,,,,"16","15","-1","-1","114628","-1","0","-1","-1"
"170","1552483027","1608726943","0","HL Eins Fashion GmbH","102","Scharfschwedtstr. 34","16540","Hohen Neuendorf","114631",,,,,,,,,"16","15","-1","-1","114630","-1","0","-1","-1"
"171","1552483058","1552483065","0","Rene´s Fashion Eins GmbH","102","Scharfschwedtstr. 34, Widerspruch Anschreiben Betreff (Standard)","16540","Hohen Neuendorf","114633",,,,,,,,,"16","15","-1","-1","114632","-1","0","-1","-1"
"172","1552483090","1552483097","0","Rene´s Fashion Zwei GmbH","102","Scharfschwedtstr. 34, Widerspruch Anschreiben Betreff (Standard)","16540","Hohen Neuendorf","114635",,,,,,,,,"16","15","-1","-1","114634","-1","0","-1","-1"
"173","1552485196","1552485202","0","Doreen Weingärtner","103","Kurstraße 32/33","14776","Brandenburg","114637",,,,,,,,,"16","15","-1","-1","114636","-1","0","-1","-1"
"174","1552919425","1564040499","0","Carvalho Schuh GmbH","88","Georg-Schendel-Str. 2","12489","Berlin","114852",,,,,,,"Deutschland",,"16","15","-1","-1","115694","-1","0","-1","120095"
"175","1552919551","1606570728","0","Alfi Schuhhandels GmbH","88","Hasenmoor 6","21614","Buxtehude","126899",,,,,,,"Deutschland",,"16","15","116330","115693","126898","135128","0","135127","120094"
"178","1554821135","1582034343","0","Big Deal Süd GmbH","105","Otto-Lilienthal-Str. 2","55232","Alzey","126903",,,,,,,"Deutschland",,"16","15","-1","116530","126902","-1","0","-1","-1"
"177","1554722486","1554722519","0","Shoe4You GmbH & Co. KG","89","An der Autobahn 15","30900","Wedemark","116411",,,,,,,"Deutschalnd",,"16","15","116413","116412","116410","-1","0","-1","-1"
"179","1554821782","1557993907","0","United Cinemas International Multiplex GmbH","106","Oskar-Hoffmann-Str. 156","44789","Bochum","116532",,,,,,,,,"16","15","-1","-1","116531","-1","0","-1","-1"
"180","1554821818","1557993932","0","United Cinemas International Kinoplex GmbH","106","Oskar-Hoffmann-Str. 156","44789","Bochum","116534",,,,,,,,,"16","15","-1","-1","116533","-1","0","-1","-1"
"181","1554821853","1554821859","0","United Cinemas International Novoplex GmbH","106","Oskar-Hoffmann-Str. 156","44789","Bochum","116536",,,,,,,,,"16","15","-1","-1","116535","-1","0","-1","-1"
"182","1554821892","1554821899","0","United Cinemas International Lumoplex GmbH","106","Oskar-Hoffmann-Str. 156","44789","Bochum","116538",,,,,,,,,"16","15","-1","-1","116537","-1","0","-1","-1"
"183","1555415626","1555415642","0","The Doorman Betriebsgesellschaft Welle Frankfurt mbH","107","Stephanstr. 1","60313","Frankfurt am Main","116902",,,,,,,"Deutschland",,"16","15","-1","116903","116901","-1","0","-1","-1"
"184","1557733169","1602072928","0","United Internet Corporate Services GmbH","108","Hinterm Hauptbahnhof 3","76137","Karlsruhe","117779",,,,,,,"Deutschland",,"16","15","117781","117780","117778","117783","0","117782","-1"
"185","1558516719","1582034267","0","Benchmark Fashion GmbH & Co. KG","109","Winkelsfelderstr. 16","40477","Düsseldorf","126901",,,,,,,"Deutschland",,"16","15","118219","118218","126900","118221","0","118220","-1"
"186","1560871329","1560871363","0","Feneberg Lebensmittel GmbH","110","Ursulasrieder Str. 2","87437","Kempten","118948",,,,,,,"Deutschland",,"16","15","-1","118949","118947","-1","0","-1","-1"
"187","1560871426","1560871433","0","Hans Dietz GmbH & Co. KG","110","Hartwasen 16","73252","Schopfloch","118951",,,,,,,,,"16","15","-1","-1","118950","-1","0","-1","-1"
"188","1560871469","1560871480","0","Philipp Reiter GmbH","110","Ursulasrieder Str. 2","87437","Kempten","118953",,,,,,,,,"16","15","-1","-1","118952","-1","0","-1","-1"
"189","1568723355","1568723663","0","Wolle Rödel GmbH & Co. KG","111","Bahnhofstr. 11","33102","Paderborn","121785",,,,,,,"Deutschland",,"16","15","121787","121786","121783","121789","0","121788","-1"
"190","1571742728","1571742860","0","Nord FX Textil GmbH c/o Shop Superdry ","112","Einkauszentrum nova eventis","06237","Leuna OT Günthersdorf","122872",,,,,,,,,"16","15","-1","122873","122871","-1","0","-1","-1"
"191","1573458627","1573458657","0","M.R.C.-ACM GmbH","49","Erlenweg 14","19336","Bad Wilsnack","123744",,,,,,,"Deutschland",,"16","15","-1","-1","123743","-1","0","-1","-1"
"192","1573458718","1573458733","0","M.R.C. GmbH","49","Erlenweg 14","19336","Bad Wilsnack","123746",,,,,,,"Deutschland",,"16","15","-1","-1","123745","-1","0","-1","-1"
"193","1573458762","1573458776","0","LSC GmbH","49","Erlenweg 14","19336","Bad Wilsnack","123748",,,,,,,"Deutschland",,"16","15","-1","-1","123747","-1","0","-1","-1"
"194","1573458811","1573458829","0","LSC-BB GmbH","49","Erlenweg 14","19336","Bad Wilsnack","123750",,,,,,,"Deutschland",,"16","15","-1","-1","123749","-1","0","-1","-1"
"195","1573458853","1573458872","0","TTB-Hbf GmbH","49","Erlenweg 14","19336","Bad Wilsnack","123752",,,,,,,"Deutschland",,"16","15","-1","-1","123751","-1","0","-1","-1"
"196","1580204191","1580204249","0","Cordula-Grundstücksverwaltungsgesellschaft mbH & Co. OHG","113","Carl-Theodor-Str. 6","40213","Düsseldorf","-1",,,,,,,"Deutschland",,"16","15","-1","-1","-1","-1","0","-1","-1"
"197","1582701782","1589361309","0","Barbara Benz Einrichten GmbH & Co. KG","114","Vordere Kernenstr. 2","72202","Nagold","129424","123","123",,,,,"Deutschland",,"16","15","127203","127202","129423","-1","0","-1","-1"
"198","1585807631","1589361280","0","Ubald Hullin","115","Sigmaringerstr. 96","70567","Stuttgart","129421","1","1",,,,,"Deutschland",,"16","15","128495","129422","129420","128497","0","128496","-1"
"199","1589532566","1589532650","0","Brekalo & Aibler Gastronomie Betriebs GesmbH","116","Wagramerstr. 79","AT-1220","Wien","129513",,,,,,,"Österreich",,"16","15","-1","-1","129512","-1","0","-1","-1"
"200","1592400233","1611654430","0","TK Fashion Group GmbH","117","Bahnhofstr. 5","53721","Siegburg","136624","11","11","11","11",,,"Deutschland","11","16","15","130234","136625","136623","130236","0","130235","-1"
"217","1610536846","1610536875","0","Christian Leitner Retail Group","129","Wiedner Gütel 12/IV","A-1040","Wien","136320",,,,,,,"Österreich",,"16","15","-1","-1","136319","-1","0","-1","-1"
"201","1596438986","1634820891","0","Mustang Store GmbH","118","Austr. 10","74653","Künzelsau","143564",,,,,,,"Deutschland",,"16","15","-1","143565","143563","-1","0","-1","-1"
"202","1596700768","1620735188","0","Gisy Schuhe GmbH & Co KG","119","Georgstr. 27","30159","Hannover","131555",,,,,,,"Deutschland",,"16","15","131557","131556","131554","131559","0","131558","-1"
"203","1597395578","1597395612","0","Street Schuhhandels Gesellschaft mbH","89","An der Autobahn 15","30900","Wedemark","131814",,,,,,,"Deutschland",,"4","1","131817","131815","131813","131819","0","131818","-1"
"204","1602666629","1602666823","0","Schuh-Heinrich GmbH & Co.KG","120","Alter Markt 12","24103","Kiel","133643",,,,,,,"Deutschland",,"4","1","133645","133644","133642","133647","0","133646","-1"
"207","1603262445","1603262716","0","Printshop Sofortdruck und HandelsgmbH","122","Stationgasse 5","A-1010","Wien","133888",,,,,,,"Österreich",,"4","1","-1","-1","133887","-1","0","-1","-1"
"206","1602682873","1602682928","0","RSM Textilhandels GmbH","121","Treppenstr. 8","34117 ","Kassel","133694",,,,,,,"Deutschland",,"4","1","133696","133695","133693","133698","0","133697","-1"
"208","1604502702","1604502743","0","CL Austria Handels GmbH","55","Allee 225","2334","Vösendorf-Süd","134215",,,,,,,"Österreich",,"16","15","134217","134216","134214","134219","0","134218","-1"
"209","1605799963","1605800001","0","H&G Handels GmbH","123","Industriestr. 3","3943","Schrems","134591",,,,,,,"Österreich",,"4","1","134593","134592","134590","134595","0","134594","-1"
"210","1605869038","1605869341","0","Liberty Damenmoden GmbH","124","Siemensstr. 9","32312","Lübbecke","134616",,,,,,,"Deutschland",,"16","15","-1","-1","134614","-1","0","-1","-1"
"211","1606223552","1606223630","0","Bonita GmbH","125","Kesseldorfer Rott 39","46499","Hamminkeln","134921",,,,,,,"Deutschland",,"16","15","-1","134923","134922","-1","0","-1","-1"
"212","1606995281","1620735200","0","Schuhhaus Gränert-Gundlach GmbH & Co.KG","119","Mühlenkamp 33","22303","Hamburg","135341",,,,,,,"Deutschland",,"16","15","135343","135342","135340","135345","0","135344","-1"
"213","1606995444","1620735218","0","Wilhelm Prange GmbH & Co.KG","119","Jungfernstieg 38","20354","Hamburg","135347",,,,,,,"Deutschland",,"16","15","135349","135348","135346","135351","0","135350","-1"
"214","1607697936","1608292057","0","Josef Tretter GmbH & Co. KG","126","Ridlerstr. 15","80339","München","135826",,,,,,,"Deutschland",,"16","15","-1","-1","135824","-1","0","-1","-1"
"215","1608288326","1615793917","0","Hartner GmbH","127","Am Kuhberg 6","A-3580","Frauenhofen","137746",,,,,,,"Österreich",,"4","1","137748","137747","137745","137750","0","137749","-1"
"216","1608568075","1610615622","0","PKF WULF & PARTNER Partnerschaft mbB","128","Löffelstr. 44","70597","Stuttgart","136369",,,,,,,"Deutschland",,"4","1","135891","135890","136368","135893","0","135892","-1"
"218","1611224399","1611224531","0","Shop Display UG","36","Haselweg 13","16348","Wandlitz","136506",,,,,,,"Deutschland",,"16","15","-1","136509","136505","-1","0","-1","-1"
"219","1611651142","1611651209","0","Preußner Kommunikation & Design","130","Am Predigertor 1","79098","Freiburg","136606",,,,,,,"Deutschland",,"16","1","136608","136607","136605","136610","0","136609","-1"
"220","1611740814","1634025805","0","AmRest Coffee Deutschland Sp.z.o.o. & Co. KG","131","Dachauer Str. 65","80335","München","143166",,,,,,,"Deutschland",,"16","15","143168","143167","143165","-1","0","-1","-1"
"221","1613554594","1613554691","0","BETTY BARCLAY GROUP","132","Heidelberger Str. 9-11","69226","Nußloch","137243",,,,,,,"Deutschland",,"16","15","-1","-1","137242","-1","0","-1","-1"
"222","1615538176","1615538223","0","S1 Dorsten GmbH","17","Untere Dorfstr. 141","57074","Siegen","137706",,,,,,,"Deutschland",,"4","1","137708","137707","137705","137710","0","137709","-1"
"223","1616147565","1616147634","0","LS95 GmbH","133","Rodendamm 69","28816","Stuhr","137876",,,,,,,"Deutschland",,"16","15","-1","-1","137875","-1","0","-1","-1"
"224","1616153230","1616153261","0","La Sciccosa Fashion 82 GmbH","134","Segefelder Str. 2","14624","Dallgow-Döberitz","137896",,,,,,,"Deutschland",,"16","15","-1","-1","137895","-1","0","-1","-1"
"225","1617695762","1620126725","0","mobilcom-debitel Shop GmbH","135","Am Eichenring 1","16727","Oberkrämer","138826",,,,,,,"Deutschland",,"4","1","138823","138822","138820","138825","0","138824","-1"
"226","1617695813","1617695813","0","Gravis-Computervetriebsgesellschaft mbH","135","Am Eichenring 1","16727","Oberkrämer","-1",,,,,,,"Deutschland",,"4","1","-1","-1","138147","-1","0","-1","-1"
"227","1618222449","1618222592","0","Neuroth Hörcenter AG","136","Alpenstr. 15","CH-6300","Zug","138241",,,,,,,"Schweiz",,"4","1","138243","138242","138240","138245","0","138244","-1"
"228","1618399317","1618399372","0","Notare Kuhn Jauch Gösner GbR","137","Tübinger Str. 26","70178","Stuttgart","138276",,,,,,,"Deutschland",,"16","15","-1","-1","138275","-1","0","-1","-1"
"229","1619509481","1620735139","0","Schuhhaus Grüterich In. Paul-Michael u Günther Prange GmbH & Co. KG","119","Hindenburgstr. 106","41061","Mönchengladbach","138912",,,,,,,"Deutschland",,"16","15","138502","138913","138911","138504","0","138503","-1"
"230","1619509907","1620735175","0","E. Juppen Nachf. Paul Prange GmbH & Co. KG","119","Schadowstr. 49/51","40212","Düsseldorf","138915",,,,,,,"Deutschland",,"16","15","138508","138916","138914","138510","0","138509","-1"
"231","1620048290","1634026148","0","AmRest DE Sp.z.o.o. & Co. KG","131","Dachauer Str. 65","80335","München","143170",,,,,,,"Deutschland",,"16","15","-1","143171","143169","-1","0","-1","-1"
"232","1620809521","1620809554","0","A3 Trading GmbH","138","Andrähofweg 54/2","AT 9061 ","Klagenfurt","138929",,,,,,,"Österreich",,"16","15","-1","-1","138928","-1","0","-1","-1"
"233","1622621150","1622621193","0","JD Sports Fashion AT GmbH","98","Wallnerstraße 1, 3. Stock","AT-1010","Wien","139306",,,,,,,"Österreich",,"16","15","-1","-1","139304","-1","0","-1","-1"
"234","1627541448","1628063054","0","Lidl Dienstleistung GmbH & Co. KG","139","Bonfelder Str. 2","74206","Bad Wimpfen","140896",,,,,,,"Deutschland",,"16","15","140624","140897","140895","140626","0","140625","-1"
"235","1632298615","1632316830","0","K+K Shoe Market GmbH","89","An der Autobahn 15","30900","Wedemark","142106",,,,,,,"Deutschland",,"16","15","-1","142107","142105","-1","0","-1","-1"
"236","1633614119","1636443630","0","Lidl Vertriebs-GmbH & Co. KG, Bremen","141","Lise-Meitner-Str. 1","28790","Schwanewede","144591",,,,,,,"Deutschland",,"4","1","-1","-1","144590","-1","0","-1","-1"
"237","1633614283","1635955941","0","Lidl Vertriebs-GmbH & Co. KG, Bernburg","140","Claude-Breda-Str. 7","06406","Bernburg/Saale","144300",,,,,,,"Deutschland",,"4","1","-1","-1","144299","-1","0","-1","-1"
"238","1633614332","1635955986","0","Lidl Vertriebs-GmbH & Co. KG, Cloppenburg","142","Brookweg 90","49661","Cloppenburg","144304",,,,,,,"Deutschland",,"4","1","-1","-1","144303","-1","0","-1","-1"
"239","1634644907","1635955961","0","Lidl Vertriebs-GmbH & Co. KG, Siegen","143","Am Rübgarten 1","57299","Burbach","144302",,,,,,,"DE",,"16","15","143560","143559","144301","143562","0","143561","-1"
"240","1634892495","1636099641","0","Lidl Vertriebs-GmbH & Co. KG, Grevenbroich","144","Lise-Meitner-Straße 4","41515","Grevenbroich","144391",,,,,,,,,"4","1","-1","-1","144390","-1","0","-1","-1"
"241","1634900080","1636387123","0","reifencom GmbH","145","Südfeldstr. 16","30453 ","Hannover","144541",,,,,,,,,"4","1","-1","-1","144540","-1","0","-1","-1"
"242","1635256120","1635256124","0","Helmut Stibor","146","Hauptplatz 1","8230","Hartberg","-1",,,,,,,"AT",,"4","1","-1","-1","-1","-1","0","-1","-1"
